Model,RMSE,R^2,AIC
Gender,132.8101829307551,0.004904101954762208,63078.44692916301
Race,125.08354300760752,0.0759410907972976,62709.98206986315
Age,126.28445984817783,0.08418157983210384,62665.417460663615
Ethnicity,132.82472913428816,0.0026157438419541768,63089.87448249929
Weight (kg),127.56163390084807,0.07170794736401753,62732.720660633895
Height (cm),133.0929717573374,0.000186936826636952,63101.974759964105
